,latitude,longitude,population,surface,densité_population,indice_CNR,USD_to_EUR,EUR_to_USD,cours_baril_en_USD,tmoy,nb_entreprise_ensemble,nb_entreprise_industrie,nb_entreprise_construction,nb_entreprise_commerce,nb_entreprise_info_communication,nb_entreprise_autres_services,nb_entreprise_sciences_techno,nb_entreprise_immobilier,nb_entreprise_finance_assurance,nb_entreprise_santé_enseign_adminis,nb_exploit_agricole,prix
nb_entreprise_ensemble,-0.07054663422819125,0.19396403839447945,0.7250509527823238,-0.05902109283241007,-0.061209852501985546,-0.13052671776800057,0.093256420575604,-0.11276849783623087,-0.034274760337605785,0.2974800642491033,1.0,0.9760234068259113,0.9841703375976372,0.9956231337928532,0.9770238536621088,0.997359983605322,0.9961551742442081,0.9886512090941991,0.9952571465778408,0.9971163086533427,0.504038872310969,-0.3975381514148778
nb_entreprise_industrie,-0.12777900906979323,0.16657803860791315,0.826476678690488,0.0836630702325604,-0.050571185078404225,-0.16204062978067,0.11524185957662596,-0.13781030562927768,-0.045576912334282696,0.3352864457456792,0.9760234068259113,1.0,0.9855915619945427,0.9669399292826222,0.9146890999231022,0.9776343992619825,0.9581899003237702,0.9881392646759217,0.9726321145467443,0.9730667151804627,0.62657785454048,-0.42888798577616777
nb_entreprise_construction,-0.16248812659684744,0.20423741491323325,0.7866842513213089,-0.0006342353879383035,-0.06599291579716285,-0.15078552059412198,0.10695790386550849,-0.12860441538616696,-0.04031750349141199,0.35054082363512934,0.9841703375976372,0.9855915619945427,1.0,0.9697821394046032,0.9326650087772493,0.9827930368543746,0.9765823371501996,0.9836916165157408,0.9822418262816691,0.9816118122067409,0.5712548859200798,-0.4124562883265608
nb_entreprise_commerce,-0.013969371863623235,0.1913188200732554,0.7062067146392058,-0.058697225698695156,-0.057077310116633174,-0.129298614684929,0.09237699355313536,-0.11157330342875953,-0.03525115693984855,0.2718500853055295,0.9956231337928532,0.9669399292826222,0.9697821394046032,1.0,0.9832884475674394,0.9932137086209235,0.9890194722315351,0.9802937595647065,0.9849642890666429,0.989156537553194,0.4840106872258609,-0.39311917132577234
nb_entreprise_info_communication,0.03269165077235676,0.18080692481035546,0.6208414654752773,-0.15254587759645843,-0.07063389923975509,-0.10751797845130448,0.07780195567421201,-0.0952329382365396,-0.026804629845932657,0.23258530866582314,0.9770238536621088,0.9146890999231022,0.9326650087772493,0.9832884475674394,1.0,0.9701890933960956,0.983351642013114,0.9459906344375886,0.9678126150483745,0.9681039306292026,0.3675984658753561,-0.3533138654861011
nb_entreprise_autres_services,-0.06267121092059709,0.1688513506782718,0.7348623097568054,-0.018330692068586018,-0.08155209115014658,-0.13772212350678203,0.09867477036511708,-0.11871595584361232,-0.03655427188670389,0.3009474143146689,0.997359983605322,0.9776343992619825,0.9827930368543746,0.9932137086209235,0.9701890933960956,1.0,0.98997570265809,0.986645310697627,0.992976926381471,0.9950975326626554,0.5435276678910557,-0.3974803305169532
nb_entreprise_sciences_techno,-0.07830526383657775,0.205145643394472,0.6914414696767146,-0.11671815276114571,-0.06070894825399414,-0.11842565329856264,0.08476880144782374,-0.10323656800081457,-0.03000314417101629,0.2915057226832275,0.9961551742442081,0.9581899003237702,0.9765823371501996,0.9890194722315351,0.983351642013114,0.98997570265809,1.0,0.9785878489965062,0.9940287371511242,0.9940936820880821,0.4536371885450981,-0.38399908585033826
nb_entreprise_immobilier,-0.11743887106843708,0.17187302749574546,0.7745535586023363,0.012999964658041246,-0.0425572315962405,-0.14054573677077006,0.10128256229246008,-0.1219438461669308,-0.03610415865482112,0.315961407801443,0.9886512090941991,0.9881392646759217,0.9836916165157408,0.9802937595647065,0.9459906344375886,0.986645310697627,0.9785878489965062,1.0,0.9862639182704945,0.9850524356899049,0.5625266186142452,-0.42287791042995876
nb_entreprise_finance_assurance,-0.07415898033215186,0.1509307228389879,0.7303285526317298,-0.05379562091675587,-0.07604227122678156,-0.1298621529807542,0.09227102502726697,-0.11186073296451673,-0.03315476171135261,0.2966158103801284,0.9952571465778408,0.9726321145467443,0.9822418262816691,0.9849642890666429,0.9678126150483745,0.992976926381471,0.9940287371511242,0.9862639182704945,1.0,0.994236475764152,0.5216164051140082,-0.39833603859390676
nb_entreprise_santé_enseign_adminis,-0.0988976748182292,0.21458674066645533,0.7118931379187217,-0.07415810344167818,-0.05502157565316015,-0.1223799368773587,0.08740165388846365,-0.10585719731831825,-0.03106039776681893,0.30491560402192264,0.9971163086533427,0.9730667151804627,0.9816118122067409,0.989156537553194,0.9681039306292026,0.9950975326626554,0.9940936820880821,0.9850524356899049,0.994236475764152,1.0,0.5024484586168901,-0.3918241174718611
nb_exploit_agricole,-0.10414052245082742,-0.17751175662073185,0.7856073741369698,0.6755017933937366,-0.2303982416277013,-0.2299884437439724,0.16769937284650874,-0.1970667399725721,-0.07136881266604636,0.3062818045921956,0.504038872310969,0.62657785454048,0.5712548859200798,0.4840106872258609,0.3675984658753561,0.5435276678910557,0.4536371885450981,0.5625266186142452,0.5216164051140082,0.5024484586168901,1.0,-0.3057244554335999
prix,0.04660688772055152,-0.11499144284116787,-0.3563477967964022,-0.08360585076714488,0.09915944663665918,0.6165457300213705,-0.6037481812557415,0.5991806990301608,0.6118307002978839,-0.07668627880015007,-0.3975381514148778,-0.42888798577616777,-0.4124562883265608,-0.39311917132577234,-0.3533138654861011,-0.3974803305169532,-0.38399908585033826,-0.42287791042995876,-0.39833603859390676,-0.3918241174718611,-0.3057244554335999,1.0
